lg,tm_xgp,user_id
epl,Arsenal,34613288
epl,Aston Villa,27489253
epl,Bournemouth,20880206
epl,Brighton,57606154
epl,Burnley,441309926
epl,C Palace,85307509
epl,Chelsea,22910295
epl,Everton,15891449
epl,Fulham,22903812
epl,Leeds,1024095475
epl,Leicester,122392884
epl,Liverpool,19583545
epl,Man City,14573900
epl,Man Utd,558797310
epl,Newcastle,35758259
epl,Norwich,187572312
epl,Sheffield Utd,63463538
epl,Southampton,46143892
epl,Tottenham,121402638
epl,Watford,226590250
epl,West Brom,280412626
epl,West Ham,156247074
epl,Wolves,49296276
laliga,Real Madrid,14872237
laliga,Barcelona,96951800
laliga,Atleti,199354750
laliga,Valencia,109312021
laliga,Sevilla,115123104
laliga,Atletico,273933522
bund,Bayern,773069256
bund,Dortmund,165699676
bund,Schalke,296163037
bund,Leverkusen,180720589
bund,Borussia,80790735
bund,RB Leipzig,324992991
ligue1,PSG,38164846
ligue1,Marseille,40448264
ligue1,Lyon,33893706
seriea,Juventus,253508662
seriea,AC Milan,186386857
seriea,Inter Milan,124450567
seriea,Atalanta,338995273
ered,Ajax,153000691
