season,type,date,team_h,team_a,g_h,g_a,penalty_h,penalty_a
2020-21,ucl,5/29/2021,Manchester City,Chelsea,,,,
2020-21,1,1/3/2020,Chelsea,Manchester City,1,3,,
2020-21,2,5/8/2021,Manchester City,Chelsea,1,2,,
2020-21,fa_cup,4/17/2021,Chelsea,Manchester City,1,0,,
2018-19,ucl,6/1/2019,Liverpool,Tottenham,2,0,,
2018-19,1,9/15/2018,Tottenham,Liverpool,1,2,,
2018-19,2,3/31/2019,Liverpool,Tottenham,2,1,,
2015-16,ucl,5/28/2016,Real Madrid,Atlético Madrid,1,1,5,3
2015-16,1,10/4/2015,Atlético Madrid,Real Madrid,1,1,,
2015-16,2,2/27/2016,Real Madrid,Atlético Madrid,0,1,,
2013-14,ucl,5/24/2014,Real Madrid,Atlético Madrid,4,1,,
2013-14,1,9/28/2013,Real Madrid,Atlético Madrid,0,1,,
2013-14,2,3/2/2014,Atlético Madrid,Real Madrid,2,2,,
2013-14,cup1,2/2/2014,Real Madrid,Atlético Madrid,3,0,,
2013-14,cup2,2/11/2014,Atlético Madrid,Real Madrid,0,2,,
2012-13,ucl,5/25/2013,Bayern Munich,Borussia Dortmund,2,1,,
2012-13,1,12/1/2012,Bayern Munich,Borussia Dortmund,1,1,,
2012-13,2,5/4/2013,Borussia Dortmund,Bayern Munich,1,1,,
2007-08,ucl,5/21/2008,Manchester United,Chelsea,1,1,6,5
2007-08,1,9/23/2007,Manchester United,Chelsea,2,0,,
2007-08,2,4/26/2008,Chelsea,Manchester United,2,1,,
2007-08,fa_community_shield,8/5/2007,Manchester United,Chelsea,1,1,3,0
