Team,Group,ELO,Off.,Def.,R16,QF,SF,Final,Champ
 Belgium,B,2244,2.19,-0.08,94%,74%,58%,41%,29%
 Spain,E,2168,1.9,-0.07,88%,69%,44%,29%,14%
 France,F,2218,1.67,-0.16,80%,58%,42%,23%,14%
 Italy,A,2128,1.72,-0.02,86%,61%,30%,17%,9%
 Portugal,F,2151,1.79,-0.14,74%,51%,33%,17%,9%
 Denmark,B,2093,1.73,-0.1,84%,50%,31%,16%,7%
 England,D,2101,1.77,-0.07,89%,56%,26%,15%,6%
 Netherlands,C,2039,1.65,-0.25,85%,51%,26%,9%,3%
 Germany,F,2032,1.71,-0.3,61%,32%,17%,7%,3%
 Switzerland,A,1982,1.52,-0.38,69%,31%,12%,4%,1%
 Wales,A,1979,1.28,-0.26,68%,30%,11%,4%,1%
 Sweden,E,1947,1.39,-0.36,64%,31%,11%,4%,< 1%
 Ukraine,C,1949,1.32,-0.54,75%,30%,11%,3%,< 1%
 Poland,E,1914,1.39,-0.42,64%,28%,9%,3%,< 1%
 Croatia,D,1911,1.48,-0.51,70%,31%,8%,2%,< 1%
 Turkey,A,1937,1.33,-0.65,58%,23%,7%,2%,< 1%
 Austria,C,1856,1.22,-0.76,65%,17%,5%,< 1%,< 1%
 Czechia,D,1850,1.17,-0.71,64%,20%,4%,< 1%,< 1%
 Finland,B,1802,1.25,-0.63,48%,10%,3%,< 1%,< 1%
 Russia,B,1833,1.32,-0.72,54%,12%,4%,< 1%,< 1%
 Hungary,F,1893,1.2,-0.79,29%,9%,3%,< 1%,< 1%
 Scotland,D,1746,1.01,-0.89,45%,10%,2%,< 1%,< 1%
 Slovakia,E,1755,1.03,-0.95,39%,8%,2%,< 1%,< 1%
 North Macedonia,C,1729,1.07,-1.14,46%,6%,1%,< 1%,< 1%
