team_id,team_name,gte50_poss_d,lt50_poss_d,gte50_poss_l,lt50_poss_l,gte50_poss_w,lt50_poss_w
722269,San Antonio FC,0,5,2,3,4,22
1003204,Memphis 901 FC,3,2,8,1,10,12
540855,Detroit City FC,7,5,4,5,3,11
1003208,New Mexico United,8,4,8,2,2,11
267816,Pittsburgh Riverhounds SC,4,5,7,3,7,10
915808,Monterey Bay F.C.,0,4,5,13,2,10
1003207,Birmingham Legion FC,3,4,7,4,7,10
197328,Tampa Bay Rowdies,4,3,4,4,13,9
514649,Indy Eleven,1,4,8,9,3,9
521004,Sacramento Republic FC,4,4,8,4,7,9
721896,Miami FC,6,4,8,2,6,9
722267,Rio Grande Valley FC,5,2,12,2,5,9
915809,Las Vegas Lights FC,3,6,6,7,3,9
1003206,Hartford Athletic,2,4,12,6,1,9
614321,Colorado Springs Switchbacks FC,2,2,10,4,11,8
614325,FC Tulsa,5,1,10,6,4,8
424268,Phoenix Rising FC,4,2,4,12,5,7
614316,Louisville City FC,5,1,6,0,18,6
1130413,Oakland Roots SC,9,4,8,3,6,6
521005,LA Galaxy II,7,0,12,4,6,5
1124827,San Diego Loyal SC,3,3,10,1,13,5
162183,Charleston Battery,3,4,12,9,2,4
267813,Orange County SC,4,9,8,6,3,4
915806,Atlanta United II,3,2,12,11,2,4
1003205,Loudoun United FC,0,4,12,10,5,3
614318,New York Red Bulls II,1,5,6,19,2,1
1003209,El Paso Locomotive FC,6,1,14,0,12,1
