season,link
2020/2021,/Regions/252/Tournaments/2/Seasons/8228/England-Premier-League
2019/2020,/Regions/252/Tournaments/2/Seasons/7811/England-Premier-League
2018/2019,/Regions/252/Tournaments/2/Seasons/7361/England-Premier-League
2017/2018,/Regions/252/Tournaments/2/Seasons/6829/England-Premier-League
2016/2017,/Regions/252/Tournaments/2/Seasons/6335/England-Premier-League
2015/2016,/Regions/252/Tournaments/2/Seasons/5826/England-Premier-League
2014/2015,/Regions/252/Tournaments/2/Seasons/4311/England-Premier-League
2013/2014,/Regions/252/Tournaments/2/Seasons/3853/England-Premier-League
2012/2013,/Regions/252/Tournaments/2/Seasons/3389/England-Premier-League
2011/2012,/Regions/252/Tournaments/2/Seasons/2935/England-Premier-League
2010/2011,/Regions/252/Tournaments/2/Seasons/2458/England-Premier-League
2009/2010,/Regions/252/Tournaments/2/Seasons/1849/England-Premier-League
2008/2009,/Regions/252/Tournaments/2/Seasons/1539/England-Premier-League
2007/2008,/Regions/252/Tournaments/2/Seasons/1256/England-Premier-League
2006/2007,/Regions/252/Tournaments/2/Seasons/667/England-Premier-League
2005/2006,/Regions/252/Tournaments/2/Seasons/836/England-Premier-League
2004/2005,/Regions/252/Tournaments/2/Seasons/594/England-Premier-League
2003/2004,/Regions/252/Tournaments/2/Seasons/429/England-Premier-League
2002/2003,/Regions/252/Tournaments/2/Seasons/299/England-Premier-League
2001/2002,/Regions/252/Tournaments/2/Seasons/191/England-Premier-League
2000/2001,/Regions/252/Tournaments/2/Seasons/85/England-Premier-League
1999/2000,/Regions/252/Tournaments/2/Seasons/2/England-Premier-League
